Fx1,Fy1,Fz1,Tx1,Ty1,Tz1,Fx2,Fy2,Fz2,Tx2,Ty2,Tz2,Fx3,Fy3,Fz3,Tx3,Ty3,Tz3,Fx4,Fy4,Fz4,Tx4,Ty4,Tz4,Fx5,Fy5,Fz5,Tx5,Ty5,Tz5,Fx6,Fy6,Fz6,Tx6,Ty6,Tz6,Fx7,Fy7,Fz7,Tx7,Ty7,Tz7,Fx8,Fy8,Fz8,Tx8,Ty8,Tz8,Fx9,Fy9,Fz9,Tx9,Ty9,Tz9,Fx10,Fy10,Fz10,Tx10,Ty10,Tz10,Fx11,Fy11,Fz11,Tx11,Ty11,Tz11,Fx12,Fy12,Fz12,Tx12,Ty12,Tz12,Fx13,Fy13,Fz13,Tx13,Ty13,Tz13,Fx14,Fy14,Fz14,Tx14,Ty14,Tz14,Fx15,Fy15,Fz15,Tx15,Ty15,Tz15,Class
-21.325,7.925,62.65,4.025,-51.55,-6.825,-17.175,4.325,46.2,10.5,-34.95,1.6,-27.825,18.825,-86.475,3.025,-41.65,-5.575,-24.35,10.425,27.1,-4.3,-5.8,-6.475,-17.125,16.8,23.45,26,-18.125,-6.375,-12.625,-0.15,-4,22.65,-11.95,-5.975,-12.75,0,49.625,-3.75,-12.4,-1.725,-5.275,4.45,24.7,7.375,6.125,-3,10.05,1.625,77.425,-1.55,13.25,-1.775,-6.15,0.45,17.075,0.65,-11.325,-5.3,1.5,-2.625,10.8,-2,20.675,-4.475,23.525,-10.075,-93.25,6.175,-10.25,-4.375,-30.375,3.725,40.975,-3.075,-11.775,-4.025,13.5,-4.25,9.05,-19.8,0.675,-3.875,11.75,-6.625,18.75,-22.725,-15.7,-5.95,collision_in_part
2.825,7.925,62.65,4.025,0.55,-6.825,5.675,4.325,46.2,10.5,-13.05,-7.6,-4.675,-0.225,59.175,3.025,-5.95,-5.575,-2.45,10.425,27.1,-4.3,-5.8,3.675,12.325,-14.4,23.45,26,-18.125,5.475,-12.625,-0.15,164.8,22.65,-11.95,-5.975,-12.75,0,49.625,-3.75,-12.4,-7.675,-5.275,-11.85,24.7,7.375,6.125,-3,10.05,1.625,77.425,-1.55,-21.25,-1.775,-6.15,0.45,17.075,0.65,-11.325,0.9,1.5,-2.625,10.8,-2,-20.475,-4.475,23.525,11.375,88.25,6.175,-10.25,-4.375,-30.375,3.725,40.975,-3.075,-11.775,-4.025,13.5,-4.25,9.05,21,0.675,-3.875,11.75,-6.625,18.75,-22.725,-15.7,2.15,normal
2.825,7.925,-136.25,-85.875,-51.55,20.275,5.675,4.325,46.2,10.5,8.85,-7.6,-4.675,-0.225,59.175,3.025,-5.95,-5.575,-2.45,10.425,27.1,-4.3,-5.8,-6.475,-17.125,-14.4,23.45,26,-18.125,-6.375,-12.625,-0.15,-4,-21.25,-11.95,-5.975,-12.75,0,49.625,-3.75,4.8,-1.725,-5.275,4.45,24.7,7.375,6.125,-3,10.05,1.625,77.425,-1.55,13.25,-1.775,-6.15,0.45,17.075,0.65,-11.325,-5.3,1.5,-2.625,10.8,-2,20.675,-4.475,23.525,-10.075,88.25,6.175,-10.25,-4.375,-30.375,3.725,40.975,-3.075,-11.775,-4.025,13.5,-4.25,9.05,-19.8,0.675,-3.875,11.75,-6.625,18.75,-22.725,-15.7,-5.95,collision_in_tool
2.825,-8.925,62.65,4.025,0.55,-6.825,5.675,4.325,46.2,-30.5,-13.05,1.6,-4.675,-0.225,59.175,3.025,-5.95,-5.575,-2.45,-15.025,27.1,-4.3,-5.8,3.675,-17.125,16.8,23.45,-42,-18.125,-6.375,11.125,-0.15,164.8,22.65,-11.95,-5.975,-12.75,-14,49.625,-3.75,-12.4,-1.725,-5.275,4.45,24.7,-12.175,6.125,-3,10.05,-12.125,77.425,-1.55,-21.25,-1.775,-6.15,0.45,17.075,0.65,-11.325,-11.5,1.5,-2.625,10.8,-2,-20.475,-17.025,23.525,-10.075,88.25,6.175,-10.25,-4.375,-30.375,3.725,40.975,-3.075,-11.775,-4.025,13.5,-4.25,9.05,-19.8,-41.375,-3.875,11.75,-6.625,18.75,19.425,-15.7,-14.05,normal
-21.325,-8.925,62.65,4.025,-51.55,-6.825,-17.175,4.325,46.2,10.5,-34.95,1.6,-27.825,18.825,59.175,-39.525,-5.95,-5.575,-24.35,10.425,27.1,-4.3,-5.8,-6.475,-17.125,16.8,23.45,26,-18.125,-6.375,-12.625,-0.15,-4,22.65,-11.95,-5.975,-12.75,0,49.625,-3.75,-12.4,-1.725,-5.275,4.45,24.7,7.375,6.125,-3,10.05,1.625,-69.725,-1.55,13.25,-1.775,-6.15,0.45,17.075,0.65,-11.325,-5.3,1.5,-2.625,10.8,-2,-20.475,-4.475,23.525,11.375,88.25,6.175,-10.25,-4.375,-30.375,3.725,40.975,-3.075,-11.775,-4.025,13.5,-4.25,9.05,-19.8,0.675,-3.875,11.75,-6.625,18.75,19.425,20.1,-5.95,collision_in_part
2.825,7.925,62.65,4.025,0.55,6.725,5.675,4.325,46.2,10.5,-13.05,1.6,-4.675,-0.225,59.175,3.025,-5.95,4.075,-2.45,10.425,27.1,-4.3,-5.8,3.675,-17.125,-14.4,23.45,26,-18.125,5.475,-12.625,-0.15,-4,22.65,-11.95,9.175,-12.75,0,49.625,-3.75,4.8,4.225,-5.275,4.45,24.7,7.375,6.125,5.4,10.05,1.625,77.425,-1.55,13.25,-1.775,-6.15,0.45,17.075,0.65,-11.325,0.9,1.5,-2.625,10.8,-2,-20.475,8.075,23.525,11.375,88.25,6.175,-10.25,-4.375,-30.375,3.725,40.975,-3.075,-11.775,-4.025,13.5,-4.25,9.05,21,0.675,-3.875,11.75,-6.625,18.75,19.425,20.1,2.15,normal
26.975,-8.925,-136.25,4.025,0.55,6.725,5.675,-14.025,-123.4,10.5,8.85,1.6,18.475,-0.225,-86.475,45.575,-5.95,4.075,-2.45,-15.025,27.1,-4.3,-5.8,3.675,-17.125,-14.4,23.45,26,-18.125,5.475,11.125,-0.15,-4,22.65,-11.95,9.175,17.35,-14,49.625,16.75,4.8,4.225,-5.275,-11.85,24.7,7.375,6.125,-3,287.65,-25.875,-2276.975,215.15,-124.75,83.725,124.85,48.05,-126.775,-84.95,96.825,-5.3,95.5,38.675,10.8,-32,144.125,-4.475,90.675,-10.075,-93.25,6.175,135.25,-4.375,35.275,-19.225,40.975,29.975,74.525,-4.025,60.5,-31.35,9.05,61.8,42.725,-3.875,11.75,-35.875,18.75,61.575,20.1,2.15,bottom_obstruction
-21.325,-42.625,62.65,48.975,-51.55,-6.825,28.525,4.325,46.2,10.5,52.65,-7.6,41.625,-0.225,59.175,3.025,29.75,-5.575,41.35,-15.025,27.1,35.1,63.8,-6.475,41.775,-45.6,23.45,26,94.975,-6.375,34.875,-0.15,-4,22.65,42.25,-5.975,17.35,14,49.625,-3.75,39.2,-1.725,-5.275,4.45,24.7,7.375,6.125,-3,10.05,1.625,-69.725,-1.55,13.25,-1.775,6.95,0.45,17.075,0.65,-11.325,-5.3,1.5,-2.625,10.8,-2,-20.475,-4.475,23.525,-10.075,-93.25,6.175,-10.25,-4.375,-30.375,3.725,40.975,-3.075,-11.775,-4.025,13.5,-4.25,9.05,21,0.675,-3.875,11.75,-6.625,18.75,19.425,-15.7,-5.95,collision_in_part
2.825,-8.925,62.65,4.025,0.55,-6.825,5.675,4.325,46.2,-30.5,-13.05,-16.8,-4.675,-0.225,59.175,3.025,-5.95,-15.225,-2.45,10.425,27.1,-43.7,-5.8,-16.625,-17.125,-14.4,23.45,26,-18.125,-6.375,11.125,-0.15,-4,-21.25,-11.95,-5.975,-12.75,0,49.625,-24.25,-12.4,-1.725,-5.275,-11.85,24.7,-12.175,-33.725,-11.4,10.05,1.625,77.425,-21.25,-21.25,-10.325,-6.15,0.45,17.075,-31.45,-11.325,-5.3,1.5,-2.625,10.8,-32,-20.475,-4.475,23.525,-10.075,88.25,6.175,-10.25,-19.125,-30.375,3.725,40.975,-36.125,-11.775,-4.025,13.5,-4.25,9.05,-19.8,-41.375,-19.625,11.75,-6.625,18.75,-22.725,-15.7,-5.95,normal
51.125,-143.725,62.65,408.575,469.45,88.025,74.225,-87.425,46.2,51.5,52.65,1.6,64.775,-38.325,59.175,45.575,101.15,-5.575,63.25,10.425,27.1,-4.3,98.6,-6.475,71.225,16.8,23.45,-42,94.975,-6.375,34.875,21.95,164.8,-21.25,42.25,-5.975,-12.75,0,49.625,-24.25,-12.4,-13.625,-29.725,-11.85,24.7,-12.175,-33.725,-11.4,-24.65,1.625,77.425,-21.25,-55.75,-10.325,-32.35,0.45,17.075,-31.45,-47.375,-11.5,-45.5,-2.625,10.8,-2,-61.625,-4.475,23.525,-10.075,88.25,6.175,-10.25,-4.375,-30.375,3.725,40.975,-36.125,-11.775,-16.475,13.5,-4.25,9.05,-19.8,0.675,-3.875,11.75,-6.625,18.75,-22.725,-15.7,-22.15,collision_in_tool
