Sequence Name,mcg,gvh,lip,chg,aac,alm1,alm2,class
RHAR_ECOLI,0.51,0.46,0.48,0.5,0.58,0.31,0.41,cp
SYM_ECOLI,0.61,0.36,0.48,0.5,0.49,0.35,0.44,cp
LPLA_ECOLI,0.42,0.38,0.48,0.5,0.54,0.34,0.43,cp
AGP_ECOLI,0.74,0.49,0.48,0.5,0.42,0.54,0.36,pp
ATKB_ECOLI,0.46,0.61,0.48,0.5,0.48,0.86,0.87,im
LLDP_ECOLI,0.66,0.53,0.48,0.5,0.59,0.66,0.66,im
EFTS_ECOLI,0.24,0.35,0.48,0.5,0.31,0.19,0.31,cp
NRFA_ECOLI,0.69,0.67,0.48,0.5,0.3,0.39,0.24,pp
CODB_ECOLI,0.29,0.47,0.48,0.5,0.71,0.65,0.69,im
PTGA_ECOLI,0.4,0.42,0.48,0.5,0.37,0.27,0.27,cp
DEOC_ECOLI,0.34,0.33,0.48,0.5,0.38,0.35,0.44,cp
NADA_ECOLI,0.26,0.26,0.48,0.5,0.34,0.25,0.35,cp
FRDD_ECOLI,0.64,0.58,0.48,0.5,0.48,0.78,0.73,im
DSBC_ECOLI,0.66,0.74,0.48,0.5,0.31,0.38,0.43,pp
KDSA_ECOLI,0.51,0.37,0.48,0.5,0.35,0.36,0.45,cp
MALG_ECOLI,0.7,0.4,0.48,0.5,0.56,0.86,0.83,im
CSPA_ECOLI,0.31,0.23,0.48,0.5,0.73,0.05,0.14,cp
ASG2_ECOLI,0.73,0.78,0.48,0.5,0.58,0.51,0.31,pp
NHAA_ECOLI,0.89,0.55,0.48,0.5,0.51,0.72,0.76,im
MCP1_ECOLI,0.86,0.39,0.48,0.5,0.59,0.89,0.9,imU
PNTA_ECOLI,0.33,0.37,0.48,0.5,0.46,0.65,0.69,im
SYW_ECOLI,0.39,0.31,0.48,0.5,0.38,0.34,0.43,cp
PTOA_ECOLI,0.35,0.51,0.48,0.5,0.61,0.71,0.74,im
ARAC_ECOLI,0.42,0.4,0.48,0.5,0.56,0.18,0.3,cp
OTC1_ECOLI,0.42,0.3,0.48,0.5,0.48,0.26,0.36,cp
SECD_ECOLI,0.88,0.42,0.48,0.5,0.52,0.73,0.75,imU
RBSB_ECOLI,0.64,0.81,0.48,0.5,0.37,0.39,0.44,pp
EFG_ECOLI,0.4,0.29,0.48,0.5,0.42,0.35,0.44,cp
DMSC_ECOLI,0.66,0.48,0.48,0.5,0.54,0.7,0.74,imU
APT_ECOLI,0.2,0.44,0.48,0.5,0.46,0.51,0.57,cp
CPXA_ECOLI,0.79,0.36,0.48,0.5,0.46,0.82,0.7,imU
DSBB_ECOLI,0.5,0.66,0.48,0.5,0.31,0.92,0.92,im
LYSR_ECOLI,0.44,0.56,0.48,0.5,0.5,0.46,0.54,cp
CYSP_ECOLI,0.67,0.61,0.48,0.5,0.51,0.37,0.38,pp
RHAT_ECOLI,0.49,0.61,1.0,0.5,0.56,0.71,0.74,imU
DLDH_ECOLI,0.56,0.51,0.48,0.5,0.34,0.37,0.46,cp
