Fx1,Fy1,Fz1,Tx1,Ty1,Tz1,Fx2,Fy2,Fz2,Tx2,Ty2,Tz2,Fx3,Fy3,Fz3,Tx3,Ty3,Tz3,Fx4,Fy4,Fz4,Tx4,Ty4,Tz4,Fx5,Fy5,Fz5,Tx5,Ty5,Tz5,Fx6,Fy6,Fz6,Tx6,Ty6,Tz6,Fx7,Fy7,Fz7,Tx7,Ty7,Tz7,Fx8,Fy8,Fz8,Tx8,Ty8,Tz8,Fx9,Fy9,Fz9,Tx9,Ty9,Tz9,Fx10,Fy10,Fz10,Tx10,Ty10,Tz10,Fx11,Fy11,Fz11,Tx11,Ty11,Tz11,Fx12,Fy12,Fz12,Tx12,Ty12,Tz12,Fx13,Fy13,Fz13,Tx13,Ty13,Tz13,Fx14,Fy14,Fz14,Tx14,Ty14,Tz14,Fx15,Fy15,Fz15,Tx15,Ty15,Tz15,class
5.0,23.0,157.0,-186.0,179.0,2.0,-25.0,8.0,93.0,-46.0,25.0,-5.0,-16.0,-8.0,56.0,19.0,-54.0,1.0,1.0,-1.0,50.0,-5.0,-8.0,-1.0,0.0,2.0,55.0,-10.0,3.0,0.0,-5.0,-2.0,60.0,-4.0,-11.0,0.0,-1.0,-6.0,58.0,1.0,-5.0,0.0,5.0,-4.0,64.0,-4.0,2.0,-2.0,6.0,-5.0,63.0,-1.0,2.0,0.0,-1.0,-3.0,58.0,-2.0,-5.0,0.0,-1.0,-4.0,57.0,-2.0,-6.0,-2.0,0.0,-4.0,61.0,-4.0,-6.0,0.0,2.0,-5.0,66.0,-3.0,0.0,0.0,1.0,-2.0,53.0,-4.0,-4.0,-1.0,1.0,-3.0,51.0,-2.0,-3.0,0.0,collision
-6.0,15.0,-414.0,-53.0,16.0,-5.0,-38.0,14.0,-1357.0,-192.0,71.0,-9.0,4.0,-3.0,-90.0,-28.0,-20.0,12.0,11.0,-2.0,73.0,-4.0,22.0,-2.0,4.0,-4.0,42.0,-4.0,2.0,0.0,7.0,-17.0,61.0,13.0,6.0,0.0,7.0,-6.0,54.0,0.0,7.0,-1.0,1.0,-9.0,57.0,3.0,-1.0,-1.0,-2.0,-12.0,58.0,6.0,-6.0,-2.0,-1.0,-11.0,53.0,5.0,-5.0,-1.0,2.0,-11.0,58.0,4.0,-1.0,-1.0,3.0,-8.0,58.0,0.0,0.0,-2.0,1.0,-7.0,57.0,0.0,-2.0,-1.0,1.0,-4.0,57.0,-4.0,-2.0,-2.0,3.0,-3.0,58.0,-5.0,1.0,-2.0,obstruction
8.0,-17.0,50.0,16.0,-1.0,-2.0,2.0,-25.0,55.0,22.0,-1.0,-1.0,10.0,-17.0,50.0,18.0,9.0,-2.0,3.0,-17.0,60.0,11.0,3.0,-2.0,7.0,-10.0,65.0,8.0,7.0,1.0,1.0,-9.0,56.0,1.0,-1.0,0.0,3.0,-12.0,59.0,10.0,3.0,-1.0,3.0,-5.0,58.0,-1.0,2.0,0.0,0.0,-8.0,63.0,2.0,-3.0,0.0,1.0,-2.0,56.0,-5.0,-1.0,0.0,-1.0,-2.0,56.0,-4.0,-5.0,-2.0,1.0,0.0,61.0,-7.0,-2.0,0.0,0.0,0.0,57.0,-8.0,-6.0,-1.0,-1.0,0.0,49.0,-9.0,-3.0,-1.0,-1.0,3.0,63.0,-11.0,-3.0,-1.0,collision
-15.0,-9.0,-26.0,70.0,-22.0,-11.0,-15.0,-8.0,-27.0,74.0,-20.0,-11.0,-14.0,-9.0,-26.0,76.0,-23.0,-12.0,-16.0,-10.0,-29.0,74.0,-22.0,-10.0,-14.0,-9.0,-24.0,80.0,-19.0,-11.0,-15.0,-10.0,-33.0,84.0,-15.0,-10.0,-14.0,-12.0,-43.0,93.0,-11.0,-11.0,-15.0,-12.0,-53.0,99.0,-10.0,-11.0,-16.0,-9.0,-71.0,96.0,-8.0,-12.0,-20.0,-9.0,-88.0,106.0,-8.0,-14.0,-24.0,-9.0,-90.0,111.0,-21.0,-15.0,-27.0,-12.0,-114.0,131.0,-20.0,-16.0,-26.0,-15.0,-138.0,151.0,-14.0,-16.0,-26.0,-15.0,-160.0,162.0,-4.0,-15.0,-28.0,-13.0,-181.0,172.0,1.0,-14.0,fr_collision
-133.0,-34.0,18.0,21.0,131.0,-41.0,21.0,6.0,79.0,-36.0,59.0,-2.0,14.0,17.0,69.0,-45.0,13.0,-5.0,6.0,1.0,56.0,-5.0,7.0,7.0,15.0,-3.0,51.0,0.0,17.0,-2.0,10.0,-4.0,52.0,-2.0,8.0,-3.0,5.0,-6.0,63.0,2.0,3.0,1.0,0.0,-4.0,61.0,-1.0,-3.0,-2.0,-1.0,-1.0,61.0,-5.0,-6.0,-1.0,-1.0,1.0,61.0,-10.0,-6.0,-1.0,1.0,0.0,66.0,-10.0,-4.0,1.0,1.0,-3.0,59.0,-3.0,-2.0,0.0,-1.0,2.0,59.0,-12.0,-6.0,0.0,0.0,1.0,58.0,-9.0,-5.0,-1.0,0.0,0.0,60.0,-8.0,-6.0,-1.0,collision
0.0,0.0,50.0,-11.0,-7.0,0.0,1.0,-3.0,47.0,-9.0,-7.0,0.0,1.0,0.0,42.0,-15.0,-6.0,-1.0,-1.0,1.0,34.0,-18.0,-10.0,0.0,-1.0,-1.0,46.0,-13.0,-11.0,1.0,-1.0,-1.0,44.0,-14.0,-9.0,2.0,-3.0,-1.0,37.0,-13.0,-13.0,2.0,-5.0,-1.0,36.0,-17.0,-24.0,2.0,-4.0,-4.0,30.0,-14.0,-21.0,2.0,-2.0,-6.0,22.0,-14.0,-22.0,3.0,-5.0,-6.0,9.0,-20.0,-27.0,3.0,-5.0,-7.0,-2.0,-25.0,-33.0,4.0,-5.0,-4.0,-11.0,-39.0,-38.0,3.0,-9.0,-4.0,-14.0,-46.0,-48.0,2.0,-12.0,-2.0,-33.0,-55.0,-59.0,4.0,fr_collision
-5.0,-2.0,48.0,7.0,-9.0,-1.0,-5.0,0.0,36.0,7.0,-9.0,-1.0,-4.0,-2.0,44.0,13.0,-9.0,-1.0,-4.0,-2.0,38.0,14.0,-9.0,-3.0,-5.0,0.0,32.0,12.0,-8.0,-1.0,-6.0,1.0,27.0,13.0,-10.0,0.0,-6.0,3.0,23.0,9.0,-11.0,-2.0,-5.0,1.0,24.0,10.0,-10.0,-2.0,-5.0,3.0,25.0,8.0,-9.0,0.0,-6.0,4.0,24.0,6.0,-9.0,0.0,0.0,1.0,24.0,11.0,0.0,-2.0,-2.0,4.0,11.0,8.0,2.0,2.0,-6.0,10.0,7.0,-1.0,-1.0,1.0,-4.0,7.0,13.0,9.0,3.0,2.0,-2.0,7.0,11.0,6.0,2.0,2.0,fr_collision
2.0,0.0,69.0,-10.0,2.0,1.0,-2.0,1.0,58.0,-11.0,-4.0,0.0,-2.0,3.0,54.0,-12.0,-6.0,0.0,1.0,-1.0,62.0,-6.0,0.0,0.0,-1.0,1.0,63.0,-11.0,-3.0,-1.0,-1.0,0.0,50.0,-8.0,-1.0,-1.0,-1.0,0.0,60.0,-13.0,-5.0,0.0,-1.0,0.0,57.0,-11.0,-4.0,-1.0,-1.0,0.0,60.0,-8.0,-5.0,-1.0,-1.0,1.0,60.0,-8.0,-5.0,-1.0,1.0,0.0,60.0,-7.0,-1.0,0.0,-2.0,1.0,60.0,-12.0,-6.0,3.0,-1.0,0.0,63.0,-10.0,-3.0,1.0,-1.0,-1.0,54.0,-11.0,-3.0,0.0,0.0,-3.0,57.0,-5.0,1.0,0.0,normal
3.0,-33.0,32.0,41.0,2.0,-1.0,9.0,-25.0,54.0,26.0,7.0,0.0,7.0,-12.0,44.0,-2.0,11.0,-1.0,3.0,-16.0,54.0,12.0,2.0,1.0,1.0,-17.0,56.0,12.0,1.0,1.0,2.0,-9.0,65.0,3.0,-2.0,-1.0,3.0,-5.0,53.0,-3.0,3.0,1.0,4.0,-7.0,56.0,-2.0,-1.0,-1.0,2.0,-9.0,49.0,3.0,2.0,0.0,2.0,-8.0,55.0,-1.0,-4.0,-2.0,2.0,-6.0,59.0,-3.0,-2.0,-1.0,2.0,-5.0,53.0,-3.0,-1.0,0.0,2.0,-3.0,46.0,-8.0,-3.0,0.0,1.0,-2.0,59.0,-4.0,-2.0,-1.0,0.0,-2.0,54.0,-11.0,-5.0,0.0,collision
30.0,22.0,-325.0,-46.0,66.0,4.0,31.0,23.0,-368.0,-48.0,68.0,4.0,36.0,23.0,-415.0,-47.0,78.0,4.0,37.0,28.0,-476.0,-53.0,83.0,5.0,42.0,28.0,-540.0,-54.0,92.0,5.0,45.0,32.0,-606.0,-62.0,97.0,6.0,50.0,34.0,-702.0,-65.0,110.0,6.0,55.0,37.0,-812.0,-69.0,116.0,6.0,58.0,45.0,-924.0,-83.0,126.0,6.0,64.0,48.0,-1082.0,-89.0,141.0,6.0,70.0,54.0,-1251.0,-101.0,151.0,6.0,74.0,61.0,-1436.0,-109.0,156.0,6.0,74.0,61.0,-1437.0,-111.0,157.0,8.0,29.0,-24.0,-346.0,20.0,6.0,-2.0,19.0,-6.0,-380.0,32.0,25.0,1.0,obstruction
